Brand,Model,RAM,Memory,Battery Capacity,Item Weight,Price,Screen Size,Sales based on Ratings
UMIDIGI,A15C,8 GB,128 GB,5000 Milliamp Hours,6.9 ounces,$149.99,6.7 Inches,48
Lively,5007SJBS3,3 GB,32 GB,3500 Milliamp Hours,1.75 ounces,$74.99,6.22 Inches,1330
Samsung,A54,8 GB,256 GB,5000 Milliamp Hours,0.106 ounces,$367.45,6.4 Inches,22
TCL,,4 GB,128 GB,5000 Milliamp Hours,6.88 Ounces,$139.99,6.75 Inches,313
TCL,6165S,4 GB,64 GB,5000 Milliamp Hours,6.7 ounces,$129.99,6.52 Inches,2068
BLU,,,32 GB,800 Milliamp Hours,5 ounces,$19.99,1.8 Inches,45
Apple Computer,MWKM2LL/A,4 GB,64 GB,,9.1 ounces,,6.1 Inches,42961
SIMBROS/TCL/ALCATEL/,,,,,9.6 ounces,,,17
,,,,,,,,16
Lively,5007SJBS3,3 GB,32 GB,3500 Milliamp Hours,1.75 ounces,$74.99,6.22 Inches,1330
"Dongguan Haoxun Electronic Technology Co.,Ltd",HX160Y8,,,,8 ounces,$25.95,,27080
Samsung,RSM-N950UZKAXAA,6 GB,64 GB,3300 Milliamp Hours,6.9 ounces,,6.3 Inches,6945
Samsung,Samsung Galaxy S20 FE 5G,8 GB,128 GB,4500 Milliamp Hours,6.7 Ounces,,6.5 Inches,819
Samsung,SM-A037UZKDXAA,3 GB,32 GB,5 Milliamp Hours,7 ounces,$159.99,6.5 Inches,748
Google LLC,G013C,,4 GB,,1.1 pounds,$159.00,6.3 Inches,979
OnePlus,NE2115,8 GB,8 GB,5000 Milliamp Hours,7.04 Ounces,$444.99,6.7 Inches,375
henghongshangmao,ip14pro-6.7,2 GB,16 GB,5000 Milliamp Hours,0.071 ounces,$89.99,6.7 Inches,57
UMIDIGI,G1 MAX,6 GB,128 GB,5150 Milliamp Hours,6.8 ounces,$93.49,6.52 Inches,380
Samsung,A102U,2 GB,32 GB,3 Milliamp Hours,6 ounces,,5.83 Inches,659
VICSEED,,,,,10.5 ounces,$32.99,,73
UMIDIGI,A15C,,128 GB,5000 Milliamp Hours,6.9 ounces,$149.99,6.7 Inches,48
"Shenzhen Juzhengxin Technology Co.,Ltd.",SD28-pink,,,,1.28 pounds,$49.99,,119
Yealink,BH71 OB,,,,4.9 ounces,$79.90,,59
Samsung,SAMSUNG A54,6 GB,128 GB,5000 Milliamp Hours,12 ounces,$322.49,6.4 Inches,296
Samsung,Galaxy A50,1 GB,64 GB,,1.96 ounces,,6.4 Inches,1625
OnePlus,BE2012,,64 GB,,12.3 ounces,,6.52 Inches,32
DOOGEE,N50,15 GB,15 GB,4200 Amp Hours,7 ounces,$129.99,6.52 Inches,802
UMIDIGI,A15C,8 GB,128 GB,5000 Milliamp Hours,6.9 ounces,$149.99,6.7 Inches,48
Samsung,A54,8 GB,256 GB,5000 Milliamp Hours,0.106 ounces,$367.45,6.4 Inches,22
TCL,T608M1-2AAZUS11,6 GB,256 GB,5000 Milliamp Hours,0.18 Ounces,$169.99,6.75 Inches,373
TCL,,6 GB,64 GB,5000 Milliamp Hours,14.4 ounces,$149.99,6.82 Inches,1629
Samsung,,6 GB,128 GB,5000 Milliamp Hours,6.7 ounces,,6.5 Inches,192
Xiaomi,x5 pro,8 GB,256 GB,5000 Milliamp Hours,6 ounces,$295.00,6.67 Inches,6095
Samsung,Samsung Galaxy S21 5G,8 GB,256 GB,4500 Milliamp Hours,6 ounces,,6.2 Inches,123
Google,G025J,6 GB,128 GB,3140 Milliamp Hours,5 ounces,$249.99,5.8 Inches,10350
Honor,HONOR Magic5 Lite,8 GB,256 GB,5100 Milliamp Hours,6.2 ounces,$319.00,6.67 Inches,1
VICSEED,,,,,10.5 ounces,$32.99,,73
UMIDIGI,A15C,,128 GB,5000 Milliamp Hours,6.9 ounces,$149.99,6.7 Inches,48
Samsung,RSM-N950UZKAXAA,6 GB,64 GB,3300 Milliamp Hours,6.9 ounces,,6.3 Inches,6945
Samsung,A54,8 GB,256 GB,5000 Milliamp Hours,0.106 ounces,$367.45,6.4 Inches,22
HMD Global Oy,TA-1430,4 GB,128 GB,5000,6.8 ounces,$129.99,6.52 Inches,44
Google,PIXEL 7a (5G) 128GB,,128 GB,,6.9 ounces,,6.1 Inches,9
Apple Computer,APP-MGG82LL/A-OB,,,,4.8 ounces,,,236
Google,Pixel 7 Pro,12 GB,128 GB,4926 Milliamp Hours,7.4 ounces,,6.7 Inches,182
,,,,,,$169.50,,7
xixaomiro,i14Pro,8 GB,512 GB,6800 Milliamp Hours,0.176 ounces,$99.99,6.7 Inches,15
DOOGEE,N50,15 GB,15 GB,4200 Amp Hours,7 ounces,$129.99,6.52 Inches,802
Hiboost,HIBOOST_CAR_3.0,,,,4.73 pounds,$539.99,,94
"Shenzhen Juzhengxin Technology Co.,Ltd.",SD28-pink,,,,1.28 pounds,$49.99,,119
Assistive Technology Services,sa911fd,,,,8.4 ounces,$179.77,,72
Dpofirs,Dpofirs6xgdg4q3y2,,64 GB,4000 Milliamp Hours,14.4 ounces,$106.99,6.1 Inches,
Heayzoki,Heayzoki7bev1gsdin-13,,64 GB,380 Milliamp Hours,1.98 ounces,$16.89,,1
Huness,,,256 GB,6800 Milliamp Hours,14.4 ounces,$158.99,6.82 Inches,6
DOOGEE,N50,15 GB,15 GB,4200 Amp Hours,7 ounces,$129.99,6.52 Inches,802
UMIDIGI,A15C,8 GB,128 GB,5000 Milliamp Hours,6.9 ounces,$149.99,6.7 Inches,48
TCL,,4 GB,128 GB,5000 Milliamp Hours,6.88 Ounces,$139.99,6.75 Inches,313
